"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-01","2.91","0.00","0.0","0.0",,"75","60","12.1","    1","    1",,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-02","7.61","0.45","0.0","0.0",,"74","53","34.0","    1","    1","    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-03","8.28","0.00","0.0","0.0",,"76","48","27.1","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-04","7.61","0.00","0.0","0.0",,"54","40","29.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-05","6.93","0.00","0.0","0.0",,"57","43","28.0","    1",,,,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-06","16.11","0.19","0.0","0.0",,"45","26","35.1","    1",,,"    1",
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-07","9.62","0.00","0.0","0.0",,"42","20","28.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-08","5.82","0.00","0.0","0.0",,"51","22","17.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-09","9.40","0.00",,"0.0",,"69","45","25.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-10","13.42","0.00","0.0","0.0",,"79","61","36.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-11","15.21","0.00","0.0","0.0",,"79","63","34.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-12","11.18","0.00","0.0","0.0",,"82","65","25.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-13","10.51","0.00","0.0","0.0",,"81","67","25.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-14","8.28","0.00","0.0","0.0",,"79","63","21.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-15","12.08","0.11","0.0","0.0",,"77","63","33.1","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-16","13.65","0.10","0.0","0.0",,"80","67","31.1","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-17","8.72","0.42","0.0","0.0",,"72","60","18.1","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-18","6.49","4.89","0.0","0.0",,"69","55","25.9","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-19","5.82","0.50","0.0","0.0",,"63","53","19.9","    1","    1","    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-20","6.04","2.05","0.0","0.0",,"78","57","25.1","    1","    1","    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-21","7.61","0.04","0.0","0.0",,"77","62","33.1","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-22","7.16","0.00","0.0","0.0",,"66","55","44.1",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-23","7.61","0.00","0.0","0.0",,"71","46","17.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-24","13.20","0.00","0.0","0.0",,"79","52","31.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-25","10.74","0.02","0.0","0.0",,"75","53","25.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-26","8.95","0.00","0.0","0.0",,"60","41","25.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-27","7.61","0.00","0.0","0.0",,"57","40","18.1",,,,,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-28","6.93","0.00","0.0","0.0",,"60","40","23.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-29","8.05","0.00","0.0","0.0",,"67","37","31.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-30","6.49","0.00","0.0","0.0",,"77","39","19.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-01-31","7.83","0.00","0.0","0.0",,"76","44","25.1","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-01","9.62","0.00","0.0","0.0",,"80","54","28.0","    1","    1",,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-02","7.16","0.00","0.0","0.0",,"69","53","23.0","    1","    1",,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-03","11.86","0.00","0.0","0.0",,"62","51","21.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-04","9.40","0.00","0.0","0.0",,"64","50","19.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-05","10.51","0.00","0.0","0.0",,"79","64","23.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-06","12.75","0.00","0.0","0.0",,"81","66","30.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-07","9.40","0.00","0.0","0.0",,"84","66","25.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-08","11.18","0.00","0.0","0.0",,"86","60","25.1","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-09","8.50","0.00","0.0","0.0",,"72","45","21.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-10","10.07","0.00","0.0","0.0",,"78","50","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-11","13.87","0.00","0.0","0.0",,"84","69","30.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-12","6.71","0.00","0.0","0.0",,"85","66","19.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-13","9.17","0.00","0.0","0.0",,"75","65","23.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-14","10.74","1.25","0.0","0.0",,"68","51","45.0","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-15","12.30","0.00","0.0","0.0",,"63","47","31.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-16","2.24","0.00","0.0","0.0",,"66","38","12.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-17","4.92","0.31","0.0","0.0",,"65","46","17.0","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-18","8.50","0.00","0.0","0.0",,"82","54","21.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-19","12.75","0.01","0.0","0.0",,"78","69","30.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-20","7.61","1.37","0.0","0.0",,"71","56","32.0","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-21","8.28","0.00","0.0","0.0",,"74","52","23.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-22","4.47","0.00","0.0","0.0",,"81","48","13.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-23","10.07","0.00","0.0","0.0",,"83","53","23.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-24","9.40","0.00","0.0","0.0",,"82","57","25.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-25","8.72","0.00","0.0","0.0",,"69","48","25.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-26","12.08","0.00","0.0","0.0",,"75","47","29.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-27","9.62","0.00","0.0","0.0",,"83","65","23.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-02-28","13.87","0.00","0.0","0.0",,"82","71","32.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-01","12.30","0.01","0.0","0.0",,"82","60","32.0","    1",,,,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-02","10.29","0.00","0.0","0.0",,"67","48","28.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-03","10.29","0.00","0.0","0.0",,"68","48","31.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-04","9.40","0.05","0.0","0.0",,"67","57","23.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-05","9.62","2.47","0.0","0.0",,"68","62","23.0","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-06","14.99","0.03","0.0","0.0",,"78","68","33.1","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-07","10.29","0.63","0.0","0.0",,"82","63","23.9","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-08","9.17","0.00","0.0","0.0",,"71","60","21.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-09","9.62","0.00","0.0","0.0",,"80","65","23.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-10","6.49","0.03","0.0","0.0",,"76","66","17.0",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-11","5.82","0.72","0.0","0.0",,"71","63","23.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-12","10.74","0.03","0.0","0.0",,"64","49","29.1","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-13","7.61","0.00","0.0","0.0",,"68","49","23.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-14","5.37","0.00","0.0","0.0",,"68","41","17.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-15","7.83","0.00","0.0","0.0",,"67","44","21.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-16","11.41","0.00","0.0","0.0",,"78","57","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-17","12.30","0.00","0.0","0.0",,"80","63","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-18","6.04","0.00","0.0","0.0",,"82","59","19.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-19","6.71","0.00","0.0","0.0",,"84","59","19.9","    1","    1",,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-20","9.17","0.00","0.0","0.0",,"85","63","21.0","    1",,,,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-21","9.62","0.00","0.0","0.0",,"85","63","29.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-03-22","7.83","0.00","0.0","0.0",,"85","61","21.9","    1",,,,
