timestamp,time,f_scale,location,county,state,latitude,longitude,comments
2017-01-21 15:08:00+00:00,1508,UNK,2 NW CRAWFORD,LEE,AL,32.48,-85.22,EF0 TORNADO WITH WINDS OF 80MPH BRIEFLY TOUCHED DOWN NORTH OF CRAWFORD IN THE HALEY WOODS SUBDIVISION CAUSING MINOR DAMAGE TO SEVERAL ROOFS AND WOODEN FENCES. PATH LENG (BMX)
2016-11-30 18:35:00+00:00,1835,UNK,2 SSE WAVERLY,LEE,AL,32.71,-85.56,AN EF1 TOR WITH PEAK WINDS OF 90 MPH TOUCHED DOWN E OF CAMP HILL AND MOVED INTO FAR SW CHAMBERS CO. PATH LENGTH OF 3.2 MI. PATH WIDTH OF 300 YDS. THE DURATION OF THE TO (BMX)
2017-01-21 15:20:00+00:00,1520,UNK,SMITHS STATION,LEE,AL,32.54,-85.1,A TORNADO AFFECTED AREAS JUST SOUTHWEST OF SMITH STATION. THE TORNADO WAS RATED AN EF1 WITH WINDS ESTIMATED AROUND 90 MPH. THE MOST SIGNIFICANT DAMAGE OCCURRED AT THE H (BMX)
2016-03-02 02:30:00+00:00,0230,UNK,2 NE OPELIKA,LEE,AL,32.68,-85.35,TORNADO REPORTED WITH TDS SIGNATURE... EMA REPORTED SEVERAL TREES DOWN (BMX)
2017-01-21 14:56:00+00:00,1456,UNK,2 NNE BEAUREGARD,LEE,AL,32.56,-85.36,AN EF-0 TORNADO TOUCHED DOWN ALONG LEE ROAD 413... CAUSING SOME SHINGLE DAMAGE AND UPROOTING SEVERAL TREES ALONG ITS BRIEF PATH TOWARD THE NORTHEAST... ENDING ALONG CR- (BMX)
2017-01-21 14:49:00+00:00,1449,UNK,2 S CHEWACLA STATE PARK,LEE,AL,32.53,-85.48,EF0 TORNADO WITH 70 MPH WINDS DOWNED TREES NEAR SAND HILL ROAD. (BMX)
2016-04-01 05:19:00+00:00,0519,UNK,1 SW BEAUREGARD,LEE,AL,32.53,-85.38,TORNADO START POINT. THE TORNADO BEGAN NEAR THE INTERSECTION OF SR 51 AND LEE RD 47 WHERE SEVERAL PINE TREES WERE SNAPPED AND UPROOTED IN A CONVERGENT PATTERN. ONE HALF (BMX)
2016-04-07 04:32:00+00:00,0432,UNK,5 SSW AUBURN,LEE,AL,32.53,-85.52,A BRIEF TORNADO TOUCHED DOWN WEST OF AL HWY 29 ON PERSIMMON DRIVE AND MOVED EAST ACROSS THE HIGHWAY TO AN APARTMENT COMPLEX. SEVERAL TREES WERE UPROOTED ALONG THE PATH (BMX)
2016-04-07 04:44:00+00:00,0444,UNK,5 SE AUBURN,LEE,AL,32.54,-85.42,A TORNADO TOUCHED DOWN JUST NORTH OF LEE RD 47/PIERCE CHAPEL ROAD CAUSING MINOR DAMAGE TO A GARAGE ROOF AND AN ENCLOSED PORCH AND UPROOTING A LARGE TREE. IT TRAVELED EA (BMX)
2017-01-22 20:00:00+00:00,2000,UNK,1 NE ROBERT G. PITTS AI,LEE,AL,32.63,-85.42,EF1 WITH WINDS OF 90-95MPH TOUCHED DOWN SOUTH OF PEPPERELL PKWY... MOVED NORTHEAST CROSSING US280 AND WAVERLY PKWY. PATH LENGH OF 3.08MI. MAX WIDTH OF 600YDS. TOR LIFTE (BMX)
2017-01-22 19:46:00+00:00,1946,UNK,4 ENE I-85 REST AREA,LEE,AL,32.53,-85.56,AN EF-0 TORNADO FORMED ALONG CR-14 SOUTH OF I-85 AND CONTINUED NORTHEAST TO ITS DISSIPATION POINT CROSSING SR-267. ALONG ITS PATH... A FEW SMALL PINE TREES WERE UPROOTE (BMX)
2017-09-01 00:42:00+00:00,0042,UNK,1 E NORTH BIBB,BIBB,AL,33.2,-87.13,NWS METEOROLOGISTS SURVEYED DAMAGE NEAR OLD WOODSTOCK ROAD AND DETERMINED THAT IT WAS CAUSED BY AN EF0 TORNADO WITH 75 MPH WINDS. (BMX)
2017-08-31 23:57:00+00:00,2357,UNK,1 SE HARMON,BIBB,AL,33.02,-87.26,NWS METEOROLOGISTS SURVEYED DAMAGE IN SOUTHWEST BIBB COUNTY AND FOUND THAT THE DAMAGE WAS CONSISTENT WITH AN EF1 TORNADO... WITH MAXIMUM SUSTAINED WINDS NEAR 90. NO INJ (BMX)
2017-09-01 00:11:00+00:00,0011,UNK,1 SE HARMON,BIBB,AL,33.02,-87.26,STORM CHASER TOOK VIDEO OF TORNADO CROSSING U.S. HIGHWAY 82 IN BIBB COUNTY NEAR EOLINE. TIME APPROXIMATE. (BMX)
2017-09-01 00:28:00+00:00,0028,UNK,3 WSW WEST BLOCTON,BIBB,AL,33.1,-87.17,NWS METEOROLOGISTS SURVEYED DAMAGE NEAR HOPEWELL CHURCH ROAD AND DETERMINED THAT IT WAS CAUSED BY AN EF1 TORNADO WITH 95 MPH WINDS. (BMX)
2016-03-02 00:45:00+00:00,0045,UNK,5 NE STEWARTVILLE,CLAY,AL,33.12,-86.17,NWS STORM SURVEY TORNADO END POINT. (BMX)
2015-01-04 12:28:00+00:00,1228,UNK,PINCKARD,DALE,AL,31.31,-85.55,DAMAGE TO STRUCTURES NEAR COUNTY ROAD 55 AND COUNTY ROAD 9. (TAE)
2017-04-27 16:24:00+00:00,1624,UNK,2 NE TROY UNIVERSITY,PIKE,AL,31.82,-85.93,NUMEROUS DAMAGE REPORTS ASSOCIATED WITH PERSISTENT DEBRIS SIGNATURE FROM KMXX. CORRECTED TIME. (BMX)
