"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT11","WT13","WT14","WT16"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-01","2.91","0.00",,,"57","50","10.1","13.0","    1","    1",,,,,"    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-02","4.47","0.00",,,"55","49","12.1","23.0","    1","    1",,,,,,,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-03","4.92","0.00",,,"55","46","15.0","17.0","    1",,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-04","3.80","0.00",,,"54","46","14.1","15.0","    1",,,,,"    1","    1",,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-05","3.36","0.00",,,"61","42","15.0","23.0","    1",,,,,"    1","    1",,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-06","4.70","0.00",,,"54","46","14.1","15.0",,,,,,"    1","    1",,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-07","4.03","0.00",,,"53","50","10.1","12.1","    1","    1",,,,"    1","    1",,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-08","6.04","0.00",,,"54","47","14.1","15.0","    1",,,,,,"    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-09","3.13","0.00",,,"54","44","13.0","14.1","    1",,,,,"    1","    1",,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-10","2.46","0.00",,,"52","45","8.9","13.0","    1","    1",,,,,"    1",,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-11","4.70","0.00",,,"56","47","19.9","23.9","    1",,,,"    1",,"    1",,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-12","11.86","0.35",,,"62","53","29.1","36.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-13","11.41","0.01",,,"60","51","29.1","36.0","    1",,,,,,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-14","1.12","0.00",,,"59","45","12.1","13.0","    1","    1",,,,,,"    1",,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-15","3.36","0.00",,,"54","46","8.9","10.1","    1",,,,,"    1","    1",,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-16","2.68","0.00",,,"57","46","12.1","17.0","    1",,,,"    1","    1","    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-17","9.84","0.10",,,"56","51","23.9","32.0","    1",,,,"    1",,,,,"    1","    1","    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-18","18.12","0.69",,,"58","51","44.1","59.1","    1",,,,"    1",,,,"    1","    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-19","16.55","1.52",,,"58","50","44.1","59.9","    1",,"    1","    1","    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-20","19.24","1.18",,,"55","49","38.9","51.0","    1",,,"    1","    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-21","10.29","0.99",,,"51","43","25.9","32.0","    1",,"    1",,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-22","7.61","0.29",,,"49","44","17.9","25.1","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-23","4.92","0.24",,,"54","45","15.0","23.0","    1",,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-24","4.47","0.02",,,"54","43","17.0","23.9",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-25","8.72","0.28",,,"57","50","23.9","34.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-26","5.14","0.13",,,"53","47","16.1","17.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-27","4.25","0.00",,,"54","43","15.0","17.0","    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-28","2.46","0.00",,,"56","46","8.9","10.1","    1",,,,,,,,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-29","5.82","0.17",,,"60","46","25.1","30.0","    1",,,,"    1",,"    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-30","5.37","0.00",,,"58","44","14.1","16.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01-31","2.91","0.00",,,"55","47","8.1","8.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-01","2.91","0.00",,,"58","47","14.1","15.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-02","2.24","0.00",,,"56","47","12.1","13.0",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-03","2.91","0.00",,,"60","44","16.1","17.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-04","11.41","0.39",,,"59","50","29.1","36.0","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-05","6.71","0.00",,,"62","47","21.9","28.0","    1",,,,"    1",,,,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-06","12.30","0.19",,,"57","50","25.1","29.1","    1",,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-07","12.53","0.00",,,"57","50","21.9","25.9",,,,,,,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-08","6.93","0.05",,,"55","48","15.0","17.0",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-09","8.72","0.20",,,"56","47","17.9","23.0","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-10","7.61","0.00",,,"57","46","21.0","23.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-11","6.04","0.00",,,"59","46","15.0","21.0",,,,,,,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-12","6.04","0.02",,,"62","52","14.1","17.0","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-13","5.82","0.00",,,"61","52","14.1","16.1","    1","    1",,,,,,"    1",,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-14","4.92","0.00",,,"60","48","17.9","21.9","    1","    1",,,,,,"    1",,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-15","7.61","0.00",,,"62","48","25.1","29.1","    1","    1",,,,,,"    1",,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-16","6.49","0.00",,,"65","50","21.9","25.1","    1","    1",,,,,,"    1",,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-17","3.13","0.00",,,"65","47","12.1","14.1","    1","    1",,,,,,"    1",,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-18","7.61","0.00",,,"58","50","16.1","17.9","    1","    1",,,,,"    1","    1",,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-19","4.70","0.00",,,"57","50","13.0","16.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-20","10.96","0.00",,,"56","50","21.9","25.9",,,,,,,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-21","7.38","0.41",,,"56","50","21.0","23.0","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-22","3.80","0.00",,,"60","49","16.1","17.9",,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-23","9.62","0.69",,,"56","49","25.9","40.0","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-24","9.62","0.08",,,"57","52","23.0","40.0","    1",,,,"    1",,,,,"    1",,"    1"
