"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-01","10.74","0.00","26","14","21.9","28.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-02","11.18","0.00","14","5","23.9","35.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-03","12.30","0.00","23","4","23.0","30.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-04","9.40","0.00","25","19","16.1","21.9",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-05","8.50","0.00","28","22","15.0","21.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-06","7.61","0.00","28","25","14.1","18.1","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-07","2.68","0.22","26","20","8.1","10.1","    1","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-08","10.29","0.02","23","17","18.1","25.1","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-09","5.59","0.00","25","-3","10.1","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-10","8.28","0.00","26","-9","21.9","25.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-11","6.93","0.01","25","13","17.0","23.0",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-12","7.61","0.00","25","15","14.1","18.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-13","11.18","0.00","31","21","18.1","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-14","9.40","0.00","37","22","16.1","21.9",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-15","5.37","0.00","37","31","16.1","21.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-16","6.93","0.00","33","27","13.0","17.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-17","1.12","0.00","34","19","10.1","14.1","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-18","6.04","0.00","31","22","12.1","15.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-19","4.47","0.00","34","29","12.1","15.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-20","7.61","0.00","31","22","13.0","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-21","9.84","0.00","35","19","18.1","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-22","6.71","0.00","37","29","13.0","19.9",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-23","6.93","0.00","37","32","13.0","16.1",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-24","8.95","0.23","47","35","16.1","21.9","    1",,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-25","11.18","0.06","44","29","21.9","25.9","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-26","14.99","0.00","29","22","21.9","29.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-27","14.09","0.00","27","16","23.0","29.1","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-28","14.54","0.00","25","6","25.1","36.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-29","5.14","0.00","20","2","8.9","13.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-30","4.47","0.00","21","5","12.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-01-31","9.84","0.00","29","4","23.0","28.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-01","2.91","0.00","27","2","12.1","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-02","3.36","0.03","30","14","10.1","13.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-03","5.37","0.00","33","21","15.0","18.1","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-04","1.12","0.00","32","11","8.1","10.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-05","10.29","0.00","31","26","23.0","32.0",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-06","14.32","0.00","30","19","23.9","32.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-07","5.82","0.00","32","16","13.0","17.0",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-08","1.12","0.00","34","6","8.1","10.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-09","8.50","0.17","26","18","19.9","28.0","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-10","10.96","0.06","26","22","23.0","30.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-11","8.72","0.00","28","14","18.1","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-12","4.25","0.00","28","16","12.1","14.1","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-13","7.83","0.00","29","16","15.0","21.0","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-14","10.29","0.00","32","25","18.1","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-15","5.14","0.00","30","24","12.1","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-16","7.16","0.01","31","22","14.1","18.1","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-17","9.62","0.00","34","23","21.0","25.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-18","11.18","0.00","37","26","21.0","25.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-19","7.16","0.00","38","18","19.9","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-20","2.91","0.00","40","18","8.9","13.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-21","4.70","0.03","43","28","13.0","17.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-22","9.17","0.40","32","29","15.0","19.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-23","4.92","0.00","34","12","14.1","19.9","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-24","1.57","0.17","30","15","8.9","8.9","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-25","11.41","0.00","28","20","21.9","30.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-26","13.87","0.06","29","24","21.9","32.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-27","9.62","0.01","35","28","16.1","21.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-02-28","7.61","0.00","40","31","13.0","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-03-01","7.16","0.00","40","20","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-03-02","6.71","0.00","39","20","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-03-03","8.05","0.00","40","26","15.0","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-03-04","7.16","0.00","42","21","15.0","19.9",,,,,
