"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-01","8.50","0.00","56","38","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-02","3.80","0.00","56","31","0.0","13.0","15.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-03","4.92","0.00","49","37","0.0","12.1","14.1",,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-04","10.51","0.00","48","34","0.0","21.0","25.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-05","2.68","0.00","50","28","0.0","8.9","17.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-06","6.93","0.00","54","29","0.0","17.9","23.0",,,,,"    1",,,"    1",,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-07","14.76","0.12","52","30","0.0","29.1","36.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-08","13.42","0.00","33","25","0.0","21.0","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-09","4.70","0.00","43","20","0.0","13.0","16.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-10","2.68","0.00","45","22","0.0","8.9","13.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-11","1.12","0.00","57","23","0.0","8.1","13.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-12","1.79","0.00","64","33","0.0","12.1","15.0","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-13","5.82","0.00","59","33","0.0","13.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-14","8.50","0.09","59","47","0.0","15.0","19.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-15","12.53","0.32","54","50","0.0","21.9","28.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-16","10.51","0.10","52","45","0.0","19.9","25.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-17","4.03","0.00","64","41","0.0","12.1","15.0","    1",,,,,,,"    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-18","6.49","0.00","70","38","0.0","16.1","21.0","    1",,,,,,,"    1",,,,,,,,,"    1"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-19","8.50","0.00","78","59","0.0","17.0","23.9","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-20","8.05","0.03","74","65","0.0","16.1","21.0","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-21","5.59","0.00","78","50","0.0","13.0","21.0","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-22","9.17","0.00","75","44","0.0","21.0","23.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-23","9.62","0.00","74","54","0.0","23.9","36.9","    1",,,,,,"    1","    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-24","10.51","0.00","68","50","0.0","23.0","29.1",,,,,"    1",,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-25","2.01","0.00","66","37","0.0","12.1","16.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-26","4.47","0.00","69","40","0.0","13.0","17.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-27","9.17","0.00","67","43","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-28","13.65","0.20","66","56","0.0","23.0","30.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-29","14.76","1.67","67","38","0.0","23.9","32.0","    1","    1","    1",,"    1",,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-30","12.30","0.00","39","34","0.0","19.9","25.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-31","5.59","0.00","45","34","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-01","4.47","0.01","49","36","0.0","8.9","15.0","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-02","5.82","0.00","59","48","0.0","14.1","16.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-03","12.75","0.83","54","47","0.0","23.0","29.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-04","10.29","0.24","55","47","0.0","34.9","40.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-05","8.50","0.00","60","45","0.0","16.1","21.0","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-06","5.82","0.00","63","41","0.0","16.1","17.9","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-07","9.40","0.00","53","38","0.0","15.0","19.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-08","16.33","0.77","69","46","0.0","25.9","33.1","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-09","14.76","0.00","51","38","0.0","29.1","38.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-10","2.91","0.01","48","32","0.0","17.0","21.0",,,,,"    1",,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-11","10.51","1.31","43","37","0.0","21.9","25.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-12","9.84","0.19","41","36","0.0","19.9","23.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-13","3.58","0.00","49","35","0.0","10.1","13.0","    1",,,,,,"    1","    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-14","9.40","0.00","68","36","0.0","32.0","40.9","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-15","10.51","0.00","52","33","0.0","23.0","31.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-16","5.59","0.00","57","30","0.0","17.0","21.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-17","4.70","0.00","61","32","0.0","17.0","21.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-18","4.70","0.00","63","31","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-19","6.93","0.00","60","44","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-20","8.50","0.00","69","46","0.0","17.0","21.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-21","6.49","0.01","72","54","0.0","17.0","21.0","    1","    1",,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-22","11.63","0.00","58","45","0.0","19.9","23.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-23","12.08","0.17","47","35","0.0","17.9","28.0","    1",,,"    1","    1",,,,,,,"    1",,"    1",,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-24","8.72","0.00","54","35","0.0","17.9","23.9","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-25","8.72","0.00","62","29","0.0","21.9","30.0",,,,,,,,"    1",,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-26","10.74","0.01","67","45","0.0","25.9","33.1",,,"    1",,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-27","8.05","0.00","63","43","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-28","8.50","0.00","65","38","0.0","23.9","31.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-01","12.75","0.62","59","45","0.0","25.1","33.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-02","11.41","0.00","59","41","0.0","23.0","29.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-03","3.13","0.00","64","35","0.0","12.1","15.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-04","5.14","0.00","67","40","0.0","16.1","19.9","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-05","6.93","0.00","64","42","0.0","19.9","23.9","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-06","7.61","0.00","69","43","0.0","17.0","23.0","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-07","9.40","0.00","66","47","0.0","19.9","23.9","    1",,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-08","13.87","0.29","66","56","0.0","29.1","33.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-09","6.93","0.00","80","64","0.0","13.0","17.0","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-10","6.71","0.00","77","62","0.0","17.9","23.9","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-11","5.37","0.00","79","56","0.0","23.0","31.1","    1","    1",,,,,,"    1","    1",,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-12","10.96","0.00","69","50","0.0","23.0","34.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-13","7.61","0.00","73","50","0.0","21.0","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-14","2.91","0.00","81","45","0.0","15.0","17.9","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-15","5.59","0.00","76","55","0.0","15.0","17.9","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-16","4.47","0.04","60","54","0.0","10.1","13.0","    1",,,,"    1",,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-17","6.93","0.00","71","49","0.0","17.0","23.9","    1",,,,,,,"    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-18","4.92","0.00","71","47","0.0","14.1","19.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-19","8.95","0.00","74","45","0.0","21.9","25.1","    1",,,,,,,"    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-20","12.97","0.49","63","39","0.0","25.9","36.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-21","15.66","0.00","58","37","0.0","30.0","40.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-22","5.59","0.00","69","42","0.0","13.0","17.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-23","6.93","0.00","74","39","0.0","21.0","23.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-24","7.61","0.05","65","55","0.0","17.0","21.0","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-25","11.41","0.39","68","50","0.0","23.9","31.1","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-26","4.47","0.00","72","46","0.0","16.1","21.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-27","7.38","0.00","79","55","0.0","21.0","28.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-28","11.41","0.00","69","53","0.0","28.0","34.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-29","3.58","0.00","74","45","0.0","6.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-30","7.83","0.00","78","46","0.0","19.9","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-31","10.51","0.00","80","56","0.0","21.0","25.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-04-01","15.21","0.00","78","62","0.0","25.1","31.1","    1",,,,,,,,,,"    1",,,,,,
