"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-01","2.68","0.01",,,"51","36","10.1","13.0","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-02","4.92","0.00",,,"40","27","14.1","21.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-03","3.13","0.00",,,"40","20","12.1","18.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-04","3.13","0.00",,,"41","20","13.0","17.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-05","5.37","0.00",,,"40","22","15.0","21.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-06","2.46","0.00",,,"43","21","13.0","17.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-07","2.68","0.00",,,"53","21","13.0","18.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-08","8.05","0.00",,,"45","28","19.9","29.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-09","3.13","0.00",,,"40","23","10.1","17.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-10","2.24","0.00",,,"40","22","13.0","17.0",,,,,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-01-11","4.03","0.00",,,"50","19","13.0","18.1","    1",,,,,,,"    1",,,,,,,,,
