"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-01","4.70","0.00","0.0","0.0","48","31","12.1","21.0","    1","    1",,,,,,,"    1",,"    1",,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-02","9.62","0.00","0.0","0.0","32","22","19.9","30.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-03","8.50","0.00","0.0","0.0","32","18","17.0","28.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-04","6.26","0.00","0.0","0.0","36","17","13.0","21.9",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-05","5.14","0.00","0.0","0.0","36","17","15.0","23.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-06","5.59","0.00","0.0","0.0","41","19","14.1","21.9",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-07","5.37","0.00","0.0","0.0","48","20","13.0","17.9",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-08","8.95","0.05","0.0","0.0","42","22","23.0","33.1","    1",,,,"    1",,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-09","3.36","0.00","0.0","0.0","37","20","8.9","16.1",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-10","2.46","0.00","0.0","0.0","37","19","12.1","17.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-11","3.80","0.00","0.0","0.0","45","15","16.1","21.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-12","2.68","0.00","0.0","0.0","38","28","13.0","17.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-13","1.79","0.00","0.0","0.0","46","19","8.9","12.1",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-14","3.58","0.00","0.0","0.0","57","23","8.9","13.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-15","2.01","0.00","0.0","0.0","63","28","8.1","10.1",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-16","1.57","0.02","0.0","0.0","62","30","8.9","12.1","    1",,,,"    1",,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-17","7.38","1.46","0.0","0.0","68","45","21.0","28.0","    1","    1",,,"    1",,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-18","3.13","0.00","0.0","0.0","62","39","12.1","19.9","    1",,,,,,,,,,"    1",,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-19","1.79","0.00","0.0","0.0","66","35","12.1","14.1","    1",,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-20","4.47","0.00","0.0","0.0","65","37","16.1","23.9",,,,,"    1",,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-21","9.84","0.65","0.0","0.0","41","37","17.0","21.9","    1",,,,"    1",,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-22","6.71","0.01","0.0","0.0","40","37","13.0","16.1","    1",,,,,,,,,,"    1","    1",,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-23","4.70","0.00","0.0","0.0","50","30","12.1","17.9","    1",,,,,,,,,,"    1","    1",,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-24","9.62","0.13","0.0","0.0","65","40","28.0","36.9","    1",,,,"    1",,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-25","17.67","0.86","0.0","0.0","66","47","29.1","38.9","    1",,,,"    1",,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-26","8.28","0.00","0.0","0.0","51","31","19.9","29.1",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-27","3.36","0.00","0.0","0.0","51","25","15.0","21.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-28","5.82","0.00","0.0","0.0","63","30","17.0","23.9",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-29","7.16","0.10","1.4","0.0","46","28","15.0","19.9","    1",,,,,,,,,,"    1",,"    1",,"    1",,
"USW00013722","RALEIGH AIRPORT, NC US","2010-01-30","10.29","0.61","3.6","3.0","28","19","21.9","28.0","    1",,"    1","    1",,,,,,,"    1",,"    1",,"    1",,
