Date,Average Wind Speed,Precipitation,Max. Temperature,Min. Temperature,Wind speed Fastest 2 min,Fastest 5 second wind speed,Fog/Ice fog,Heavy freezing fog,Thunder,Glaze,Smoke/Haze,Blowing/Drifting Snow,Power Outage
1/1/10,11.86,0,18,9,18.1,23,,,,,,,
1/2/10,12.3,0,16,2,19.9,23.9,1,,,,1,,
1/3/10,10.29,0,18,1,18.1,23.9,,,,,,,
1/4/10,11.63,0,18,8,18.1,23.9,,,,,1,,
1/5/10,10.96,0,18,8,17,23,,,,,1,,
1/6/10,4.25,0,23,11,13,15,,,,,1,,
1/7/10,7.83,0.14,25,9,19.9,28,1,1,,,1,,
1/8/10,8.95,0,25,10,16.1,21,,,,,1,,
1/9/10,7.38,0,19,9,15,18.1,,,,,,,
1/10/10,4.92,0,20,6,15,21.9,,,,,,,
1/11/10,10.29,0,25,16,16.1,21,1,,,,1,,
1/12/10,4.25,0,30,14,12.1,15,1,,,,1,,
1/13/10,5.59,0,39,11,18.1,23,1,,,,1,,
1/14/10,4.92,0,44,23,15,19.9,,,,,,,
1/15/10,3.13,0,41,34,8.9,14.1,1,,,,1,,
1/16/10,2.24,0,39,31,10.1,18.1,1,1,,,1,,
1/17/10,6.49,0,36,27,13,16.1,1,1,,,,,
1/18/10,4.92,0,33,27,12.1,14.1,1,1,,,,,
1/19/10,2.46,0,36,29,8.1,12.1,1,1,,,,,
1/20/10,10.74,0.03,34,27,19.9,23.9,,,,,1,,
1/21/10,9.17,0.57,38,32,18.1,25.1,1,,,,,,
1/22/10,6.04,0.02,39,34,10.1,14.1,1,,,,,,
1/23/10,8.5,0,49,36,17,25.1,1,,,,1,,
1/24/10,11.18,0.39,55,37,19.9,32,1,,,,,,
1/25/10,10.29,0.06,37,25,25.1,36.9,1,1,,,,,
1/26/10,11.41,0.01,25,18,23.9,35.1,,,,,,,
1/27/10,6.93,0.02,32,16,13,16.1,1,,,,,,
1/28/10,11.63,0,33,9,25.1,32,1,,,,,,
1/29/10,6.49,0,19,9,15,21,,,,,,,
1/30/10,8.05,0,26,15,14.1,18.1,,,,,,,
1/31/10,3.36,0,29,10,13,17,,,,,,,
2/1/10,1.79,0,36,17,6.9,10.1,,,,,,,
2/2/10,4.92,0,38,30,14.1,19.9,,,,,1,,
2/3/10,4.92,0,32,23,15,18.1,1,,,,1,,
2/4/10,6.04,0,38,22,14.1,16.1,1,,,,1,,
2/5/10,12.08,0.28,35,30,23.9,36,1,1,,,1,,1
2/6/10,12.08,0.02,30,17,23,36.9,1,,,,,,1
2/7/10,2.24,0,28,9,8.1,12.1,1,,,,,,
2/8/10,4.7,0,27,9,13,16.1,1,,,,1,,
