DATE,Average Wind Speed,PRCP,TMAX,TMIN,Fastest 2 minute wind speed,Fastest 5 second wind speed,Fog/Ice,Heavy/Freezing Fog,Thunder,Smoke/Haze,Power Outage
2017-12-31,4.25,0,15,-11,10.1,14.1,,,,,
2017-12-30,8.72,0,15,-2,19.9,25.9,,,,,
2017-12-29,7.16,0,17,8,16.1,19.9,,,,,
2017-12-28,3.13,0.02,11,-20,8.1,11,1,,,,
2017-12-27,4.92,0,11,-17,17,21,,,,,
2017-12-26,6.49,0,12,-12,17,21.9,1,,,1,
2017-12-25,14.54,0,21,5,28,36.9,1,,,1,
2017-12-24,6.93,0.19,25,18,14.1,18.1,1,,,,
2017-12-23,9.4,0.04,37,25,16.1,21,1,,,1,
2017-12-22,4.47,0,36,32,14.1,19,1,,,,
2017-12-21,7.61,0,34,26,15,21,,,,,
2017-12-20,6.49,0,36,22,21.9,30,,,,,
2017-12-19,11.63,0,47,33,19.9,40,,,,,
2017-12-18,8.95,0.02,40,26,14.1,19,,1,,,
2017-12-17,5.59,0,33,21,12.1,15,1,,,,
2017-12-16,7.38,0,37,23,14.1,19,1,,,,
2017-12-15,9.4,0,26,11,21,25.1,,,,,
2017-12-14,6.93,0,21,-1,18.1,23,,,,,
2017-12-13,8.5,0.15,23,8,18.1,23,,,,,
2017-12-12,13.65,0,30,11,28,38,,,,,
2017-12-11,4.7,0.21,30,21,12.1,14.1,,,,,
2017-12-10,9.84,0,28,21,19.9,25.1,,,,,
2017-12-09,7.16,0.06,28,22,12.1,16.1,,,,,
2017-12-08,10.51,0,32,16,21,25.9,,,,,
2017-12-07,10.96,0,31,22,21.9,25.9,,,,,
2017-12-06,14.54,0,39,24,28,35.1,,,,,1
2017-12-05,19.46,0.01,58,28,38,52.1,,,,,1
2017-12-04,10.07,0,55,28,21.9,32,,,,,
2017-12-03,3.36,0,55,21,12.1,13,,,,,
2017-12-02,2.91,0,50,23,13,16.1,,,,,
2017-12-01,2.24,0,47,19,8.9,14.1,,,,,
2017-11-30,6.93,0.09,50,25,21.9,30,,,,,
2017-11-29,5.14,0,50,25,13,19,,,,,
2017-11-28,12.3,0,64,30,21.9,31.1,,,,,
2017-11-27,3.8,0,50,26,8.9,14.1,,,,,
2017-11-26,8.05,0,44,17,17,21,,,,,
2017-11-25,12.08,0,50,33,23,29.1,,,,,
2017-11-24,10.74,0,52,24,21,30,,,,,
2017-11-23,5.37,0,39,24,14.1,18.1,,,,,
2017-11-22,6.71,0,36,19,17,21.9,,,,,
2017-11-21,12.75,0.06,50,34,23,34,,,,,
2017-11-20,12.08,0,47,26,21.9,31.1,,,,,
2017-11-19,13.87,0,38,27,29.1,36,,,,,
2017-11-18,8.95,1.54,45,34,23,33.1,,,,,
2017-11-17,6.04,0.14,42,26,16.1,21,,,,,
2017-11-16,12.08,0,44,32,25.1,35.1,,,,,
2017-11-15,10.96,0.26,47,37,23.9,32,,,,,
2017-11-14,3.8,0,46,28,25.1,40,,,,,
2017-11-13,5.14,0,43,29,10.1,14.1,,,,,
2017-11-12,1.79,0.32,36,30,8.9,10.1,,,,,
2017-11-11,5.37,0,36,19,15,19,,,,,
2017-11-10,7.83,0,29,17,17,23,,,,,
2017-11-09,11.86,0,48,22,28,35.1,,,,,
2017-11-08,3.13,0,48,22,21.9,25.9,,,,,
2017-11-07,5.14,0,49,26,13,16.1,,,,,
2017-11-06,7.61,0,47,31,16.1,23,,,,,
2017-11-05,6.26,0.28,62,46,17,21,,,,,
2017-11-04,6.26,0.34,51,35,16.1,21,,,,,
2017-11-03,7.38,0.01,52,33,16.1,19.9,,,,,
2017-11-02,4.03,0.67,59,43,16.1,19.9,,,,,
2017-11-01,5.59,0.19,42,31,12.1,15,,,,,
2017-10-31,10.96,0.01,42,32,23,36.9,,,,,
2017-10-30,10.74,0.02,46,30,25.1,35.1,,,,,
2017-10-29,5.14,0,46,29,14.1,18.1,,,,,
2017-10-28,8.28,0,44,34,21,31.1,,,,,
2017-10-27,7.61,0.37,57,38,23.9,25.9,,,,,
2017-10-26,4.25,0,53,24,25.1,31.1,,,,,
2017-10-25,5.59,0.05,51,32,18.1,38.9,,,,,
2017-10-24,13.2,0.24,53,43,25.1,35.1,,,,,
2017-10-23,9.4,0.52,64,49,30,40,,,,,
2017-10-22,7.38,0,78,42,19.9,27.1,,,,,
2017-10-21,3.58,0,74,39,14.1,18.1,,,,,
2017-10-20,4.25,0,74,33,13,17,,,,,
2017-10-19,6.93,0,69,36,18.1,23,,,,,
2017-10-18,6.71,0,69,34,19.9,28,,,,,
2017-10-17,7.61,0,69,31,21.9,29.1,,,,,
2017-10-16,4.03,0,57,32,12.1,16.1,,,,,
2017-10-15,13.42,0.1,71,43,36,45,,,,,
2017-10-14,4.92,0.35,66,58,14.1,18.1,,,,,
2017-10-13,4.03,0,71,55,13,17,,,,,
2017-10-12,4.92,0.06,57,50,14.1,17,,,,,
2017-10-11,13.42,1.44,58,51,21.9,29.1,,,,,
2017-10-10,5.82,0,71,47,15,19.9,,,,,
2017-10-09,3.8,0.07,79,51,25.1,32,,,,,
2017-10-08,8.5,0.11,75,60,18.1,23.9,,,,,
2017-10-07,11.63,0.18,83,62,29.1,42.9,,,,,
2017-10-06,2.91,0.54,63,55,16.1,63.1,,,,,
2017-10-05,4.47,0,78,42,16.1,27.1,,,,,
2017-10-04,10.51,0,80,61,21.9,35.1,,,,,
2017-10-03,6.04,0,85,40,17,25.1,,,,,
2017-10-02,3.8,0,76,36,14.1,17,,,,,
2017-10-01,4.47,0,68,29,12.1,16.1,,,,,
2017-09-30,4.7,0,66,37,12.1,16.1,,,,,
2017-09-29,9.62,0,70,41,21.9,28,,,,,
2017-09-28,5.37,0,67,39,13,23,,,,,
2017-09-27,8.28,0,79,57,19.9,28,,,,,
2017-09-26,3.8,0,93,57,15,21,,,,,
2017-09-25,2.24,0,91,58,12.1,15,,,,,
2017-09-24,2.91,0,90,56,14.1,16.1,,,,,
2017-09-23,2.01,0,92,55,10.1,14.1,,,,,
2017-09-22,2.46,0,92,63,10.1,14.1,,,,,
2017-09-21,3.13,0,92,61,13,17,,,,,
2017-09-20,4.25,0,85,65,29.1,32,,,,,
2017-09-19,4.92,0.06,72,63,19.9,28,,,,,
2017-09-18,5.14,0,77,64,10.1,15,,,,,
2017-09-17,3.58,0,86,50,14.1,23,,,,,
2017-09-16,2.91,0,81,49,10.1,14.1,,,,,
2017-09-15,1.79,0,81,49,10.1,13,,,,,
2017-09-14,1.79,0,76,47,8.1,12.1,,,,,
2017-09-13,3.58,0,73,50,12.1,27.1,,,,,
2017-09-12,3.13,0,78,42,13,17,,,,,
2017-09-11,2.46,0,74,41,8.1,13,,,,,
2017-09-10,2.68,0,69,36,10.1,14.1,,,,,
2017-09-09,3.58,0,67,37,14.1,17,,,,,
2017-09-08,6.49,0,68,44,19.9,42.9,,,,,
2017-09-07,8.28,0.03,67,43,21,34,,,,,
2017-09-06,4.25,0,68,37,13,27.1,,,,,
2017-09-05,7.16,0,72,44,17,32,,,,,
2017-09-04,8.95,0.13,83,47,25.1,33.1,,,,,
2017-09-03,7.16,0.04,78,50,19.9,23,,,,,
2017-09-02,6.26,0,71,49,15,19,,,,,
2017-09-01,7.16,0,68,42,16.1,27.1,,,,,
2017-08-31,8.5,0,73,52,25.9,29.1,,,,,
2017-08-30,4.03,0,82,58,18.1,28,,,,,
2017-08-29,2.01,0.18,75,57,13,19.9,,,,,
2017-08-28,3.58,0.55,69,59,12.1,27.1,,,,,
2017-08-27,4.25,0,78,54,12.1,15,,,,,
